Date,Home Team,Score,Away Team
2023-08-11,Burnley,0,Manchester City,3
2023-08-12,Arsenal,2,Nott'ham Forest,1
2023-08-12,Everton,0,Fulham,1
2023-08-12,Sheffield Utd,0,Crystal Palace,1
2023-08-12,Brighton,4,Luton Town,1
2023-08-12,Bournemouth,1,West Ham,1
2023-08-12,Newcastle Utd,5,Aston Villa,1
2023-08-13,Brentford,2,Tottenham,2
2023-08-13,Chelsea,1,Liverpool,1
2023-08-14,Manchester Utd,1,Wolves,0
2023-08-18,Nott'ham Forest,2,Sheffield Utd,1
2023-08-19,Fulham,0,Brentford,3
2023-08-19,Liverpool,3,Bournemouth,1
2023-08-19,Wolves,1,Brighton,4
2023-08-19,Tottenham,2,Manchester Utd,0
2023-08-19,Manchester City,1,Newcastle Utd,0
2023-08-20,Aston Villa,4,Everton,0
2023-08-20,West Ham,3,Chelsea,1
2023-08-21,Crystal Palace,0,Arsenal,1
2023-08-25,Chelsea,3,Luton Town,0
2023-08-26,Bournemouth,0,Tottenham,2
2023-08-26,Everton,0,Wolves,1
2023-08-26,Brentford,1,Crystal Palace,1
2023-08-26,Manchester Utd,3,Nott'ham Forest,2
2023-08-26,Arsenal,2,Fulham,2
2023-08-26,Brighton,1,West Ham,3
2023-08-27,Sheffield Utd,1,Manchester City,2
2023-08-27,Burnley,1,Aston Villa,3
2023-08-27,Newcastle Utd,1,Liverpool,2
2023-09-01,Luton Town,1,West Ham,2
2023-09-02,Sheffield Utd,2,Everton,2
2023-09-02,Chelsea,0,Nott'ham Forest,1
2023-09-02,Manchester City,5,Fulham,1
2023-09-02,Brentford,2,Bournemouth,2
2023-09-02,Burnley,2,Tottenham,5
2023-09-02,Brighton,3,Newcastle Utd,1
2023-09-03,Liverpool,3,Aston Villa,0
2023-09-03,Crystal Palace,3,Wolves,2
2023-09-03,Arsenal,3,Manchester Utd,1
2023-09-16,Wolves,1,Liverpool,3
2023-09-16,Fulham,1,Luton Town,0
2023-09-16,West Ham,1,Manchester City,3
2023-09-16,Aston Villa,3,Crystal Palace,1
2023-09-16,Manchester Utd,1,Brighton,3
2023-09-16,Tottenham,2,Sheffield Utd,1
2023-09-16,Newcastle Utd,1,Brentford,0
2023-09-17,Bournemouth,0,Chelsea,0
2023-09-17,Everton,0,Arsenal,1
2023-09-18,Nott'ham Forest,1,Burnley,1
2023-09-23,Manchester City,2,Nott'ham Forest,0
2023-09-23,Luton Town,1,Wolves,1
2023-09-23,Crystal Palace,0,Fulham,0
2023-09-23,Brentford,1,Everton,3
2023-09-23,Burnley,0,Manchester Utd,1
2023-09-24,Arsenal,2,Tottenham,2
2023-09-24,Brighton,3,Bournemouth,1
2023-09-24,Chelsea,0,Aston Villa,1
2023-09-24,Liverpool,3,West Ham,1
2023-09-24,Sheffield Utd,0,Newcastle Utd,8
2023-09-30,Aston Villa,6,Brighton,1
2023-09-30,Wolves,2,Manchester City,1
2023-09-30,Bournemouth,0,Arsenal,4
2023-09-30,Everton,1,Luton Town,2
2023-09-30,Newcastle Utd,2,Burnley,0
